Polar Representation Log
n=10, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.1, indpb=0.2, seed=42
================================================================================

Gen 44: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 45: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 46: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 47: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (0.304476,-0.413884), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 48: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 49: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 50: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 51: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 52: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 53: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 54: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 55: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 56: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
